"Hospital","Ph_no","Street","Suburb","Pcode","State","LHN","PHN","Website","Description","Sector","Beds","Lat","Long","bed_grp","ED","Regional","Size","Special","web_address"
"Millicent and Districts Hospital and Health Service","08 8733 4755","Mount Gambier Road","Millicent",5280,"SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/millicenthospital","Small hospital","Public","<50",-37.598354,140.358924,1,0,0,1,0,"https://www.sahealth.sa.gov.au/millicenthospital"
"Millmerran Hospital","07 4695 3111","50 Commens Street","Millmerran",4357,"Qld","Darling Downs","Darling Downs and West Moreton","www.health.qld.gov.au/services/darlingdowns/ddowns-millmerran-hs.asp","Regional hospital","Public","<50",-27.878928,151.26267,1,0,1,0,0,"https://www.health.qld.gov.au/services/darlingdowns/ddowns-millmerran-hs.asp"
"Milton Ulladulla Hospital","02 4455 1333","104-106 Princes Highway","Milton",2538,"NSW","Illawarra Shoalhaven","South Eastern NSW","www.islhd.health.nsw.gov.au/Milton_Ulladulla/default.asp","Small hospital with an emergency department","Public","<50",-35.317313,150.438918,1,1,0,1,0,"https://www.islhd.health.nsw.gov.au/Milton_Ulladulla/default.asp"
"Miranda Eye Surgical Centre","02 9540 4586","Suite 4/16-22 Willock Avenue","Miranda",2228,"NSW","","","","","Private","<50",-34.03244,151.101631,1,0,0,0,0,"https://www.myhospitals.gov.au"
"Mitcham Private Hospital","03 9210 3222","27 Doncaster East Road","Mitcham",3132,"Vic","","","www.mitchamprivate.com.au","","Private","100-199",-37.810436,145.194808,3,0,0,0,0,"https://www.mitchamprivate.com.au"
"Mitchell Hospital","07 4623 1277","95 Ann Street","Mitchell",4465,"Qld","South West (Qld)","Western Queensland","www.health.qld.gov.au/services/southwest/swest_mitch_hosp.asp","Regional hospital","Public","<50",-26.489913,147.972493,1,0,1,0,0,"https://www.health.qld.gov.au/services/southwest/swest_mitch_hosp.asp"
"Modbury Hospital","08 8161 2000","41-69 Smart Road","Modbury",5092,"SA","Northern Adelaide","Adelaide","www.sahealth.sa.gov.au/wps/wcm/connect/public+content/sa+health+internet/health+services/hospitals+and+health+services+metropolitan+adelaide/modbury+hospital/modbury+hospital","Large metropolitan hospital with an emergency department","Public","100-199",-34.834166,138.690505,3,1,0,3,0,"https://www.sahealth.sa.gov.au/wps/wcm/connect/public+content/sa+health+internet/health+services/hospitals+and+health+services+metropolitan+adelaide/modbury+hospital/modbury+hospital"
"Mogo Day Surgery","02 4474 3774","2-4 Charles Street","Mogo",2536,"NSW","","","www.mogodaysurgery.com.au","","Private","<50",-35.782893,150.14387,1,0,0,0,0,"https://www.mogodaysurgery.com.au"
"Molong Health Service","02 6392 3300","King Street","Molong",2866,"NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50",-33.087622,148.859724,1,1,1,0,0,"https://www.myhospitals.gov.au"
"Mona Vale Hospital","02 9998 0333","Coronation Street","Mona Vale",2103,"NSW","Northern Sydney","Northern Sydney","www.nslhd.health.nsw.gov.au/Hospitals/MonaVale/","Large metropolitan hospital with an emergency department","Public","100-199",-33.685353,151.306618,3,1,0,3,0,"https://www.nslhd.health.nsw.gov.au/Hospitals/MonaVale/"
"Monash Medical Centre [Clayton]","03 9594 6666","246 Clayton Road","Clayton",3168,"Vic","Monash Health","Eastern Melbourne","http://www.monashhealth.org/page/Monash_Medical_Centre","Major hospital with an emergency department","Public",">500",-37.921176,145.123128,5,1,0,4,0,"http://www.monashhealth.org/page/Monash_Medical_Centre"
"Monash Medical Centre [Moorabbin]","03 9928 8111","823-865 Centre Road","East Bentleigh",3165,"Vic","Monash Health","South Eastern Melbourne","","Large metropolitan hospital","Public","100-199",-37.920697,145.063197,3,0,0,3,0,"https://www.myhospitals.gov.au"
"Monto Hospital","07 4166 9300","35 Flinders Street","Monto",4630,"Qld","Wide Bay","Central Queensland, Wide Bay and Sunshine Coast","www.health.qld.gov.au/services/widebay/wb-monto.asp","Regional hospital","Public","<50",-24.866424,151.112501,1,0,1,0,0,"https://www.health.qld.gov.au/services/widebay/wb-monto.asp"
"Montserrat Day Hospital Gaythorne","07 3550 3550","383-391 Samford Road","Gaythorne",4051,"Qld","","","www.montserrat.com.au","","Private","<50",-27.417069,152.982237,1,0,0,0,0,"https://www.montserrat.com.au"
"Montserrat Day Hospital Indooroopilly","07 3878 7222","12 Riverview Terrace","Indooroopilly",4068,"Qld","","","www.montserrat.com.au","","Private","<50",-27.502743,152.974416,1,0,0,0,0,"https://www.montserrat.com.au"
"Moora Hospital","08 9651 0222","Dandaragan Road","Moora",6510,"WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=120","Regional hospital","Public","<50",-30.639557,116.001119,1,0,1,0,0,"https://www.health.wa.gov.au/services/detail.cfm?Unit_ID=120"
"Moranbah Hospital","07 4941 4600","Elliott Street","Moranbah",4744,"Qld","Mackay","Northern Queensland","www.health.qld.gov.au/services/mackay/moranb_hosp.asp","Regional hospital","Public","<50",-22.002125,148.055287,1,0,1,0,0,"https://www.health.qld.gov.au/services/mackay/moranb_hosp.asp"
"Morawa Health Service","08 9971 0200","Caulfield Road","Morawa",6623,"WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=121","Regional hospital","Public","<50",-29.212897,116.002986,1,0,1,0,0,"https://www.health.wa.gov.au/services/detail.cfm?Unit_ID=121"
"Moree Hospital","02 6757 0000","Alice Street","Moree",2400,"NSW","Hunter New England","Hunter New England and Central Coast","","Small hospital with an emergency department","Public","<50",-29.470678,149.839648,1,1,0,1,0,"https://www.myhospitals.gov.au"
"Morisset Hospital","02 4973 0222","Dora Street","Morisset",2264,"NSW","Hunter New England","Hunter New England and Central Coast","","Specialist psychiatric hospital","Public","100-199",-33.128549,151.512816,3,0,0,0,1,"https://www.myhospitals.gov.au"
"Mornington Island Hospital","07 4745 7209","Lardyl Street","Mornington Island",4871,"Qld","North West (Qld)","Western Queensland","https://www.health.qld.gov.au/services/northwest/nwest_mornis_phcc","Regional hospital","Public","<50",-16.665534,139.178559,1,0,1,0,0,"https://www.health.qld.gov.au/services/northwest/nwest_mornis_phcc"
"Moruya Hospital","02 4474 2666","2-10 River Street","Moruya",2537,"NSW","Southern NSW","South Eastern NSW","","Small hospital with an emergency department","Public","50-99",-35.904137,150.070774,2,1,0,1,0,"https://www.myhospitals.gov.au"
"Mosman Private Hospital","02 8968 6000","1 Ellamatta Avenue","Mosman",2088,"NSW","","","www.mosmanprivatehospital.com.au","","Private","<50",-33.835236,151.247641,1,0,0,0,0,"https://www.mosmanprivatehospital.com.au"
"Mossman Hospital","07 4084 1200","9 Hospital Street","Mossman",4873,"Qld","Cairns and Hinterland","Northern Queensland","www.health.qld.gov.au/services/cairns-hinterland/cairns_doug_mphs.asp","Small hospital","Public","<50",-16.464031,145.368025,1,0,0,1,0,"https://www.health.qld.gov.au/services/cairns-hinterland/cairns_doug_mphs.asp"
"Mount Barker District Soldiers' Memorial Hospital","08 8393 1777","Wellington Road","Mount Barker",5251,"SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/MtBarkerhospital","Small hospital","Public","<50",-35.081813,138.870277,1,0,0,1,0,"https://www.sahealth.sa.gov.au/MtBarkerhospital"
"Mount Druitt Hospital","02 9881 1555","75 Railway Street","Mount Druitt",2770,"NSW","Western Sydney","Western Sydney","http://www.wslhd.health.nsw.gov.au/Blacktown-Mount-Druitt-Hospital","Medium metropolitan hospital with an emergency department","Public","100-199",-33.765929,150.829646,3,1,0,2,0,"http://www.wslhd.health.nsw.gov.au/Blacktown-Mount-Druitt-Hospital"
"Mount Gambier and Districts Health Service","08 8721 1200","276-300 Wehl Street North","Mount Gambier",5290,"SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/mtgambierhospital","Medium regional hospital with an emergency department","Public","50-99",-37.805003,140.786662,2,1,1,2,0,"https://www.sahealth.sa.gov.au/mtgambierhospital"
"Mount Gambier Private Hospital","08 8721 1412","276-300 Wehl Street North","Mount Gambier",5290,"SA","","","","","Private","<50",-37.805952,140.786887,1,0,0,0,0,"https://www.myhospitals.gov.au"
"Mount Hospital","08 9481 1822","150 Mounts Bay Road","West Perth",6005,"WA","","","www.mounthospital.com.au","","Private","200-500",-31.958534,115.845401,4,0,0,0,0,"https://www.mounthospital.com.au"
"Mount Isa Base Hospital","07 4744 4444","30 Camooweal Street","Mount Isa",4825,"Qld","North West (Qld)","Western Queensland","https://www.health.qld.gov.au/services/northwest/nwest_mtisa_hosp","Medium regional hospital with an emergency department","Public","50-99",-20.730919,139.493815,2,1,1,2,0,"https://www.health.qld.gov.au/services/northwest/nwest_mtisa_hosp"
"Mount Morgan Hospital","07 4912 5100","Black Street","Mount Morgan",4714,"Qld","Central Queensland","Central Queensland, Wide Bay and Sunshine Coast","www.health.qld.gov.au/services/central-queensland/mt-morgan.asp","Regional hospital","Public","<50",-23.645094,150.392639,1,0,1,0,0,"https://www.health.qld.gov.au/services/central-queensland/mt-morgan.asp"
"Mount Pleasant District Hospital","08 8568 0000","28 Hospital Road","Mount Pleasant",5235,"SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/MtPleasanthospital","Regional hospital","Public","<50",-34.773855,139.054212,1,0,1,0,0,"https://www.sahealth.sa.gov.au/MtPleasanthospital"
"Mount Wilga Private Hospital","02 9847 5000","66 Rosamond Street","Hornsby",2077,"NSW","","","www.mtwilgaprivate.com.au/","","Private","50-99",-33.692829,151.092939,2,0,0,0,0,"https://www.mtwilgaprivate.com.au/"
"Moura Hospital","07 4997 2900","14 Nott Street","Moura",4718,"Qld","Central Queensland","Central Queensland, Wide Bay and Sunshine Coast","www.health.qld.gov.au/services/central-queensland/moura.asp","Regional hospital","Public","<50",-24.575948,149.975999,1,0,1,0,0,"https://www.health.qld.gov.au/services/central-queensland/moura.asp"
"Moyne Health Services [Port Fairy]","03 5568 0100","30-36 Villiers Street","Port Fairy",3284,"Vic","Moyne Health Services (Port Fairy)","Western Victoria","","Regional hospital","Public","<50",-38.381599,142.227523,1,0,1,0,0,"https://www.myhospitals.gov.au"
"Mudgee Health Service","02 6378 6222","Meares Street","Mudgee",2850,"NSW","Western NSW","Western NSW","","Small hospital with an emergency department","Public","<50",-32.603229,149.588179,1,1,0,1,0,"https://www.myhospitals.gov.au"
"Mullewa Health Service","08 9961 6200","Elder Street","Mullewa",6630,"WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=124","Regional hospital","Public","<50",-28.535991,115.510017,1,0,1,0,0,"https://www.health.wa.gov.au/services/detail.cfm?Unit_ID=124"
"Mundubbera Hospital","07 4165 5200","96 Leichhardt Street","Mundubbera",4626,"Qld","Wide Bay","Central Queensland, Wide Bay and Sunshine Coast","www.health.qld.gov.au/services/widebay/wb-mundubbera.asp","Regional hospital","Public","<50",-25.587619,151.293282,1,0,1,0,0,"https://www.health.qld.gov.au/services/widebay/wb-mundubbera.asp"
"Mungindi Hospital","02 6705 6100","Barwon Street","Mungindi",2406,"Qld","South West (Qld)","Western Queensland","www.health.qld.gov.au/services/southwest/swest_mungin_hosp.asp","Regional hospital","Public","<50",-28.972817,148.989061,1,0,1,0,0,"https://www.health.qld.gov.au/services/southwest/swest_mungin_hosp.asp"
"Murgon Hospital","07 4169 9600","Coronation Drive","Murgon",4605,"Qld","Darling Downs","Darling Downs and West Moreton","www.health.qld.gov.au/services/darlingdowns/ddowns-murgon-hs.asp","Regional hospital","Public","<50",-26.239075,151.950702,1,0,1,0,0,"https://www.health.qld.gov.au/services/darlingdowns/ddowns-murgon-hs.asp"
"Murray Bridge Soldiers' Memorial Hospital","08 8535 6777","96 Swanport Road","Murray Bridge",5253,"SA","Country Health SA","Country SA","http://www.sahealth.sa.gov.au/wps/wcm/connect/public+content/sa+health+internet/health+services/hospitals+and+health+services+-+country+south+australia/murray+mallee+hospitals+and+health+services/murray+bridge+soldiers+memorial+hospital","Small hospital","Public","50-99",-35.128911,139.280462,2,0,0,1,0,"http://www.sahealth.sa.gov.au/wps/wcm/connect/public+content/sa+health+internet/health+services/hospitals+and+health+services+-+country+south+australia/murray+mallee+hospitals+and+health+services/murray+bridge+soldiers+memorial+hospital"
"Murray District Hospital","08 9531 7222","McKay Street","Pinjarra",6208,"WA","South Metropolitan Health Service (WA)","Perth South","www.rkpg.health.wa.gov.au","Regional hospital","Public","<50",-32.639709,115.871589,1,0,1,0,0,"https://www.rkpg.health.wa.gov.au"
"Murray Valley Private Hospital","02 6055 3100","Nordsvan Drive","Wodonga",3690,"Vic","","","www.mvph.com.au","","Private","<50",-36.138419,146.876478,1,0,0,0,0,"https://www.mvph.com.au"
"Murrumburrah-Harden Hospital","02 6386 2200","54 Swift Street","Harden",2587,"NSW","Murrumbidgee","Murrumbidgee","","Regional hospital with an emergency department","Public","<50",-34.555254,148.360186,1,1,1,0,0,"https://www.myhospitals.gov.au"
"Murwillumbah Hospital","02 6672 1822","8 Ewing Street","Murwillumbah",2484,"NSW","Northern NSW","North Coast","","Small hospital with an emergency department","Public","50-99",-28.323417,153.400811,2,1,0,1,0,"https://www.myhospitals.gov.au"
"Muswellbrook Hospital","02 6542 2000","36 Brentwood Street","Muswellbrook",2333,"NSW","Hunter New England","Hunter New England and Central Coast","","Small hospital with an emergency department","Public","50-99",-32.264545,150.900263,2,1,0,1,0,"https://www.myhospitals.gov.au"
"Nambour Day Surgery","07 5476 3700","115 Howard Street","Nambour",4560,"Qld","","","www.eastcoastwomens.com.au","","Private","",-26.626321,152.96409,0,0,0,0,0,"https://www.eastcoastwomens.com.au"
"Nambour General Hospital","07 5470 6600","Hospital Road","Nambour",4560,"Qld","Sunshine Coast","Central Queensland, Wide Bay and Sunshine Coast","www.health.qld.gov.au/services/sunshinecoast/nambour.asp","Large metropolitan hospital with an emergency department","Public","100-199",-26.621659,152.952249,3,1,0,3,0,"https://www.health.qld.gov.au/services/sunshinecoast/nambour.asp"
"Nambour Selangor Private Hospital","07 5459 7444","62 Netherton Street","Nambour",4560,"Qld","","","www.nambourselangor.com.au","","Private","50-99",-26.618265,152.955949,2,0,0,0,0,"https://www.nambourselangor.com.au"
"Nanango Hospital","07 4171 6700","135 Brisbane Street","Nanango",4615,"Qld","Darling Downs","Darling Downs and West Moreton","www.health.qld.gov.au/services/darlingdowns/ddowns-nanango-hs.asp","Regional hospital","Public","<50",-26.666405,152.007833,1,0,1,0,0,"https://www.health.qld.gov.au/services/darlingdowns/ddowns-nanango-hs.asp"
"Nannup Hospital","08 9756 3800","Carey Street","Nannup",6275,"WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=126","Regional hospital","Public","<50",-33.982797,115.76723,1,0,1,0,0,"https://www.health.wa.gov.au/services/detail.cfm?Unit_ID=126"
"Naracoorte Health Service","08 8762 8100","101 Jenkins Terrace","Naracoorte",5271,"SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/naracoortehospital","Small hospital","Public","50-99",-36.966849,140.743693,2,0,0,1,0,"https://www.sahealth.sa.gov.au/naracoortehospital"
"Narembeen Memorial Hospital","08 9064 6222","Ada Street","Narembeen",6369,"WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=127","Regional hospital","Public","<50",-32.061618,118.391289,1,0,1,0,0,"https://www.health.wa.gov.au/services/detail.cfm?Unit_ID=127"
"Narrabri Hospital","02 6799 2800","11 Cameron Street","Narrabri",2390,"NSW","Hunter New England","Hunter New England and Central Coast","www.hnehealth.nsw.gov.au","Small hospital with an emergency department","Public","<50",-30.325869,149.777108,1,1,0,1,0,"https://www.hnehealth.nsw.gov.au"
"Narrandera Hospital","02 6951 0200","54 Adams Street","Narrandera",2700,"NSW","Murrumbidgee","Murrumbidgee","","Small hospital with an emergency department","Public","<50",-34.743181,146.547661,1,1,0,1,0,"https://www.myhospitals.gov.au"
"Narrogin Hospital","08 9881 0333","Williams Road","Narrogin",6312,"WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=129","Small hospital","Public","<50",-32.937341,117.168459,1,0,0,1,0,"https://www.health.wa.gov.au/services/detail.cfm?Unit_ID=129"
"Narromine Health Service","02 6889 9600","128 Cathundral Street","Narromine",2821,"NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50",-32.24261,148.239201,1,1,1,0,0,"https://www.myhospitals.gov.au"
"Nathalia District Hospital","03 5866 9444","36-44 McDonnell Street","Nathalia",3638,"Vic","Nathalia District Hospital","Murray","www.humehealth.com.au/nathalia","Regional hospital","Public","<50",-36.054754,145.204324,1,0,1,0,0,"https://www.humehealth.com.au/nathalia"
"National Capital Private Hospital","02 6222 6666","Corner of Gilmore Crescent and Hospital Road","Garran",2605,"ACT","","","www.nationalcapitalprivatehospital.com.au","","Private","50-99",-35.344872,149.101944,2,0,0,0,0,"https://www.nationalcapitalprivatehospital.com.au"
"Nepean Hospital","02 4734 2000","Derby Street","Kingswood",2747,"NSW","Nepean Blue Mountains","Nepean Blue Mountains","www.nbmlhd.health.nsw.gov.au/Nepean-Hospital/Nepean-Hospital","Major hospital with an emergency department","Public",">500",-33.759865,150.712627,5,1,0,4,0,"https://www.nbmlhd.health.nsw.gov.au/Nepean-Hospital/Nepean-Hospital"
"Nepean Private Hospital","02 4732 7333","1-9 Barber Avenue","Kingswood",2747,"NSW","","","www.nepeanprivatehospital.com.au","","Private","100-199",-33.759775,150.715206,3,0,0,0,0,"https://www.nepeanprivatehospital.com.au"
"Neringah Hospital","02 9488 2200","4-12 Neringah Avenue","Wahroonga",2076,"NSW","Northern Sydney","Northern Sydney","","Metropolitan hospital","Public","<50",-33.717856,151.114556,1,0,0,0,0,"https://www.myhospitals.gov.au"
"New Farm Clinic","07 3254 9100","22 Sargent Street","New Farm",4005,"Qld","","","www.newfarmclinic.com.au/","","Private","100-199",-27.473623,153.045879,3,0,0,0,0,"https://www.newfarmclinic.com.au/"
"New Norfolk District Hospital","03 6166 1300","3 Richmond Street","New Norfolk",7140,"Tas","Tasmanian Health Service","Tasmania","www.dhhs.tas.gov.au/service_information/service_delivery_points/new_norfolk_district_hospital","Regional hospital","Public","<50",-42.781315,147.059179,1,0,1,0,0,"https://www.dhhs.tas.gov.au/service_information/service_delivery_points/new_norfolk_district_hospital"
"Newcastle Private Hospital","02 4941 8400","14 Lookout Road","New Lambton Heights",2305,"NSW","","","www.newcastleprivatehospital.com.au","","Private","100-199",-32.922537,151.698371,3,0,0,0,0,"https://www.newcastleprivatehospital.com.au"
"Newman Hospital","08 9175 8333","54 Mindarra Drive","Newman",6753,"WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=131","Regional hospital","Public","<50",-23.354824,119.736503,1,0,1,0,0,"https://www.health.wa.gov.au/services/detail.cfm?Unit_ID=131"
"Next Step Drug And Alcohol Services, East Perth","08 9219 1919","32 Moore Street","East Perth",6004,"WA","East Metropolitan Health Service (WA)","Perth North","","Drug and alcohol hospital","Public","<50",-31.953405,115.869171,1,0,0,0,0,"https://www.myhospitals.gov.au"
"Nickol Bay Hospital","08 9143 2333","Lot 2898 Millstream Road","Karratha",6714,"WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=253","Small hospital with an emergency department","Public","<50",-20.747164,116.817755,1,1,0,1,0,"https://www.health.wa.gov.au/services/detail.cfm?Unit_ID=253"
"Nimbin Multi Purpose Service","02 6689 1400","35 Cullen Street","Nimbin",2480,"NSW","Northern NSW","North Coast","","Regional hospital with an emergency department","Public","<50",-28.597371,153.223185,1,1,1,0,0,"https://www.myhospitals.gov.au"
"Noarlunga Hospital","08 8384 9222","Alexander Kelly Drive","Noarlunga Centre",5168,"SA","Southern Adelaide","Adelaide","www.sahealth.sa.gov.au/wps/wcm/connect/public+content/sa+health+internet/health+services/hospitals+and+health+services+metropolitan+adelaide/noarlunga+hospital/noarlunga+hospital","Medium metropolitan hospital with an emergency department","Public","50-99",-35.139879,138.500218,2,1,0,2,0,"https://www.sahealth.sa.gov.au/wps/wcm/connect/public+content/sa+health+internet/health+services/hospitals+and+health+services+metropolitan+adelaide/noarlunga+hospital/noarlunga+hospital"
"Noosa Hospital","07 5455 9200","111 Goodchap Street","Noosaville",4566,"Qld","","","www.noosahospital.com.au","","Private","50-99",-26.403209,153.046309,2,0,0,0,0,"https://www.noosahospital.com.au"
"Normanton Hospital","07 4745 2100","Brown Street","Normanton",4890,"Qld","North West (Qld)","Western Queensland","www.health.qld.gov.au/services/northwest/nwest_norm_hosp.asp","Regional hospital","Public","<50",-17.678739,141.086425,1,0,1,0,0,"https://www.health.qld.gov.au/services/northwest/nwest_norm_hosp.asp"
"Norseman Hospital","08 9039 9200","Talbot Street","Norseman",6443,"WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=134","Regional hospital","Public","<50",-32.198566,121.767663,1,0,1,0,0,"https://www.health.wa.gov.au/services/detail.cfm?Unit_ID=134"
"North East Soldiers' Memorial Hospital and Community Service Centre (Scottsdale Hospital)","03 6778 8522","28 Fosters Road","Scottsdale",7260,"Tas","Tasmanian Health Service","Tasmania","www.dhhs.tas.gov.au/service_information/service_delivery_points/north_east_soldiers_memorial_hospital_and_community_service_centre/_nocache?SQ_DESIGN_NAME=v2","Small hospital","Public","<50",-41.154294,147.521324,1,0,0,1,0,"https://www.dhhs.tas.gov.au/service_information/service_delivery_points/north_east_soldiers_memorial_hospital_and_community_service_centre/_nocache?SQ_DESIGN_NAME=v2"
"North Eastern Rehabilitation Centre","03 9474 8900","134-144 Ford Street","Ivanhoe",3079,"Vic","","","www.northeasternrehabilitationcentre.com.au","","Private","<50",-37.763424,145.031344,1,0,0,0,0,"https://www.northeasternrehabilitationcentre.com.au"
"North Lakes Day Hospital","07 3833 6755","7 Endeavour Boulevard","North Lakes",4509,"Qld","","","www.montserrat.com.au","","Private","<50",-27.238984,153.021947,1,0,0,0,0,"https://www.montserrat.com.au"
"North Midlands Health Service","08 9954 3200","Thomas Street","Three Springs",6519,"WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=136","Regional hospital","Public","<50",-29.534221,115.759184,1,0,1,0,0,"https://www.health.wa.gov.au/services/detail.cfm?Unit_ID=136"
"North Queensland Day Surgical Centre","07 4725 2677","119 Kings Road","Pimlico",4812,"Qld","","","www.visioneyeinstitute.com.au","","Private","",-19.279643,146.791468,0,0,0,0,0,"https://www.visioneyeinstitute.com.au"
"North Shore Private Hospital","02 8425 3000","3 Westbourne Street","St Leonards",2065,"NSW","","","www.northshoreprivate.com.au","","Private","200-500",-33.820622,151.189159,4,0,0,0,0,"https://www.northshoreprivate.com.au"
"North West Private Hospital","07 3246 3133","137 Flockton Street","Everton Park",4053,"Qld","","","www.northwestprivatehospital.com.au","","Private","100-199",-27.393992,152.992705,3,0,0,0,0,"https://www.northwestprivatehospital.com.au"
"North West Regional Hospital","03 6430 6666","23 Brickport Road","Burnie",7320,"Tas","Tasmanian Health Service","Tasmania","www.dhhs.tas.gov.au/service_information/service_delivery_points/north_west_regional_hospital","Large regional hospital with an emergency department","Public","100-199",-41.048385,145.880842,3,1,1,3,0,"https://www.dhhs.tas.gov.au/service_information/service_delivery_points/north_west_regional_hospital"
"Northam Hospital","08 9690 1300","Robinson Street","Northam",6401,"WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=137","Small hospital","Public","<50",-31.649582,116.657681,1,0,0,1,0,"https://www.health.wa.gov.au/services/detail.cfm?Unit_ID=137"
"Northampton Kalbarri Health Service","08 9934 0200","Stephen Street","Northampton",6535,"WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=138","Regional hospital","Public","<50",-28.351194,114.635119,1,0,1,0,0,"https://www.health.wa.gov.au/services/detail.cfm?Unit_ID=138"
"Northeast Health Wangaratta","03 5722 5111","35-47 Green Street","Wangaratta",3677,"Vic","Northeast Health Wangaratta","Murray","","Large regional hospital with an emergency department","Public","100-199",-36.354035,146.313889,3,1,1,3,0,"https://www.myhospitals.gov.au"
"Northern Yorke Peninsula Health Service (Wallaroo)","08 8823 0200","1 Ernest Terrace","Wallaroo",5556,"SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/wallaroohospital","Small hospital","Public","<50",-33.927738,137.636783,1,0,0,1,0,"https://www.sahealth.sa.gov.au/wallaroohospital"
"Northpark Private Hospital","03 9468 0100","Corner of Plenty and Greenhills Roads","Bundoora",3083,"Vic","","","www.northparkprivatehospital.com.au","","Private","100-199",-37.691208,145.061631,3,0,0,0,0,"https://www.northparkprivatehospital.com.au"
"Northside Clinic","02 9433 3555","2 Greenwich Road","Greenwich",2065,"NSW","","","www.northsidegroup.com.au","","Private","50-99",-33.825156,151.188367,2,0,0,0,0,"https://www.northsidegroup.com.au"
"Northside Cremorne Clinic","02 9909 8577","3 Harrison Street","Cremorne",2090,"NSW","","","www.northsidegroup.com.au","","Private","<50",-33.833425,151.222886,1,0,0,0,0,"https://www.northsidegroup.com.au"
"Northside Macarthur Clinic","02 4640 5555","92-96 Dumaresq Street","Campbelltown",2560,"NSW","","","www.northsidemacarthur.com.au/","","Private","<50",-34.071999,150.816958,1,0,0,0,0,"https://www.northsidemacarthur.com.au/"
"Northside West Clinic","02 8833 2222","23-27 Lytton Street","Wentworthville",2145,"NSW","","","www.northsidegroup.com.au","","Private","50-99",-33.811188,150.974575,2,0,0,0,0,"https://www.northsidegroup.com.au"
"Norwest Private Hospital","02 8882 8882","11 Norbrik Drive","Bella Vista",2153,"NSW","","","www.norwestprivatehospital.com.au","","Private","200-500",-33.744941,150.953608,4,0,0,0,0,"https://www.norwestprivatehospital.com.au"
"Nowra Private Hospital","02 4424 4700","Weeroona Place","Nowra",2541,"NSW","","","www.nowraprivate.com.au","","Private","50-99",-34.893534,150.606551,2,0,0,0,0,"https://www.nowraprivate.com.au"
"Numurkah & District Health Service","03 5862 0555","2 Katamatite Road","Numurkah",3636,"Vic","Numurkah and District Health Service","Murray","","Regional hospital","Public","<50",-36.100001,145.443695,1,0,1,0,0,"https://www.myhospitals.gov.au"
"Nyngan Multi Purpose Service","02 6835 1700","Hospital Road","Nyngan",2825,"NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50",-31.560024,147.208772,1,1,1,0,0,"https://www.myhospitals.gov.au"
"Oakey Hospital","07 4691 4888","Corner Beale and Fitzpatrick Streets","Oakey",4401,"Qld","Darling Downs","Darling Downs and West Moreton","www.health.qld.gov.au/services/darlingdowns/ddowns-oakey-hs.asp","Regional hospital","Public","<50",-27.424079,151.719088,1,0,1,0,0,"https://www.health.qld.gov.au/services/darlingdowns/ddowns-oakey-hs.asp"
"Oberon Multi Purpose Service","02 6336 7200","67-73 North Street","Oberon",2787,"NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50",-33.705249,149.853596,1,1,1,0,0,"https://www.myhospitals.gov.au"
"Omeo District Health","03 5159 0100","12 Easton Street","Omeo",3898,"Vic","Omeo District Health","Gippsland","www.gha.net.au/odh","Regional hospital","Public","<50",-37.098142,147.597321,1,0,1,0,0,"https://www.gha.net.au/odh"
"Onslow Hospital","08 9184 3200","Second Avenue","Onslow",6710,"WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=221","Regional hospital","Public","<50",-21.643238,115.115389,1,0,1,0,0,"https://www.health.wa.gov.au/services/detail.cfm?Unit_ID=221"
"Orange Day Surgery Centre","02 6360 3699","60-62 McNamara Street","Orange",2800,"NSW","","","","","Private","<50",-33.283027,149.102737,1,0,0,0,0,"https://www.myhospitals.gov.au"
